Row;Angle;nomeGruppo;cognome;color
10;0;Partito Democratico;Giacobbe;#ff0000
11;0;Partito Democratico;Verducci;#ff0000
12;0;Partito Democratico;Zanda;#ff0000
13;0;Partito Democratico;Pittella;#ff0000
14;0;Partito Democratico;D'Arienzo;#ff0000
15;0;Partito Democratico;Messina;#ff0000
10;1;Partito Democratico;Cirinna';#ff0000
11;1;Partito Democratico;Astorre;#ff0000
12;1;Partito Democratico;Parrini;#ff0000
13;1;Partito Democratico;Ferrazzi;#ff0000
14;1;Partito Democratico;Mirabelli;#ff0000
15;1;Partito Democratico;D'Alfonso;#ff0000
10;2;Partito Democratico;Collina;#ff0000
11;2;Partito Democratico;Pinotti;#ff0000
12;2;Partito Democratico;Misiani;#ff0000
13;2;Partito Democratico;Cerno;#ff0000
14;2;Partito Democratico;Vattuone;#ff0000
15;2;Partito Democratico;Taricco;#ff0000
10;3;Partito Democratico;Alfieri;#ff0000
11;3;Partito Democratico;Valente;#ff0000
12;3;Partito Democratico;Ferrari;#ff0000
13;3;Partito Democratico;Laus;#ff0000
14;3;Partito Democratico;Fedeli;#ff0000
15;3;Partito Democratico;Marcucci;#ff0000
10;4;Partito Democratico;Stefano;#ff0000
11;4;Partito Democratico;Malpezzi;#ff0000
12;4;Partito Democratico;Iori;#ff0000
13;4;Partito Democratico;Bini;#ff0000
14;4;Partito Democratico;Biti;#ff0000
15;4;Partito Democratico;Nannicini;#ff0000
10;5;Partito Democratico;Margiotta;#ff0000
11;5;Partito Democratico;Manca;#ff0000
12;5;Partito Democratico;Rossomando;#ff0000
13;5;Partito Democratico;Rampi;#ff0000
14;5;Partito Democratico;Boldrini;#ff0000
15;5;Italia Viva - P.S.I.;Garavini;#ffc8ec
10;6;Italia Viva - P.S.I.;Sbrollini;#ffc8ec
11;6;Italia Viva - P.S.I.;Bonifazi;#ffc8ec
12;6;Italia Viva - P.S.I.;Sudano;#ffc8ec
13;6;Italia Viva - P.S.I.;Renzi;#ffc8ec
14;6;Italia Viva - P.S.I.;Marino;#ffc8ec
15;6;Italia Viva - P.S.I.;Conzatti;#ffc8ec
10;7;Italia Viva - P.S.I.;Ginetti;#ffc8ec
11;7;Italia Viva - P.S.I.;Carbone;#ffc8ec
12;7;Italia Viva - P.S.I.;Comincini;#ffc8ec
13;7;Italia Viva - P.S.I.;Magorno;#ffc8ec
14;7;Italia Viva - P.S.I.;Grimani;#ffc8ec
15;7;Italia Viva - P.S.I.;Nencini;#ffc8ec
10;8;Italia Viva - P.S.I.;Bellanova;#ffc8ec
11;8;Italia Viva - P.S.I.;Parente;#ffc8ec
12;8;Italia Viva - P.S.I.;Cucca;#ffc8ec
13;8;Italia Viva - P.S.I.;Faraone;#ffc8ec
14;8;Italia Viva - P.S.I.;Vono;#ffc8ec
15;8;MoVimento 5 Stelle;Mantovani;#fad140
10;9;MoVimento 5 Stelle;Leone;#fad140
11;9;MoVimento 5 Stelle;Quarto;#fad140
12;9;MoVimento 5 Stelle;Pisani;#fad140
13;9;MoVimento 5 Stelle;La Mura;#fad140
14;9;MoVimento 5 Stelle;Bottici;#fad140
15;9;MoVimento 5 Stelle;Angrisani;#fad140
10;10;MoVimento 5 Stelle;Girotto;#fad140
11;10;MoVimento 5 Stelle;Guidolin;#fad140
12;10;MoVimento 5 Stelle;Dell'Olio;#fad140
13;10;MoVimento 5 Stelle;Lanzi;#fad140
14;10;MoVimento 5 Stelle;Lorefice;#fad140
15;10;MoVimento 5 Stelle;Marinello;#fad140
10;11;MoVimento 5 Stelle;De Lucia;#fad140
11;11;MoVimento 5 Stelle;Granato;#fad140
12;11;MoVimento 5 Stelle;Vanin;#fad140
13;11;MoVimento 5 Stelle;Morra;#fad140
14;11;MoVimento 5 Stelle;Perilli;#fad140
15;11;MoVimento 5 Stelle;Santillo;#fad140
10;12;MoVimento 5 Stelle;Fenu;#fad140
11;12;MoVimento 5 Stelle;Di Micco;#fad140
12;12;MoVimento 5 Stelle;Donno;#fad140
13;12;MoVimento 5 Stelle;Puglia;#fad140
14;12;MoVimento 5 Stelle;Lomuti;#fad140
15;12;MoVimento 5 Stelle;Petrocelli;#fad140
10;13;MoVimento 5 Stelle;Ricciardi;#fad140
11;13;MoVimento 5 Stelle;Fede;#fad140
12;13;MoVimento 5 Stelle;Nocerino;#fad140
13;13;MoVimento 5 Stelle;Matrisciano;#fad140
14;13;MoVimento 5 Stelle;Garruti;#fad140
15;13;MoVimento 5 Stelle;Pellegrini;#fad140
10;14;MoVimento 5 Stelle;Turco;#fad140
11;14;MoVimento 5 Stelle;Di Nicola;#fad140
12;14;MoVimento 5 Stelle;Campagna;#fad140
13;14;MoVimento 5 Stelle;Santangelo;#fad140
14;14;MoVimento 5 Stelle;Toninelli;#fad140
15;14;MoVimento 5 Stelle;Castaldi;#fad140
10;15;MoVimento 5 Stelle;Botto;#fad140
11;15;MoVimento 5 Stelle;Gaudiano;#fad140
12;15;MoVimento 5 Stelle;Accoto;#fad140
13;15;MoVimento 5 Stelle;Naturale;#fad140
14;15;MoVimento 5 Stelle;Cioffi;#fad140
15;15;MoVimento 5 Stelle;Crimi;#fad140
10;16;MoVimento 5 Stelle;Corrado;#fad140
11;16;MoVimento 5 Stelle;Taverna;#fad140
12;16;MoVimento 5 Stelle;Lupo;#fad140
13;16;MoVimento 5 Stelle;Licheri;#fad140
14;16;MoVimento 5 Stelle;Mininno;#fad140
15;16;MoVimento 5 Stelle;Auddino;#fad140
10;17;MoVimento 5 Stelle;Maiorino;#fad140
11;17;MoVimento 5 Stelle;Russo;#fad140
12;17;MoVimento 5 Stelle;Evangelista;#fad140
13;17;MoVimento 5 Stelle;Castiello;#fad140
14;17;MoVimento 5 Stelle;Trentacoste;#fad140
15;17;MoVimento 5 Stelle;Patuanelli;#fad140
10;18;MoVimento 5 Stelle;Anastasi;#fad140
11;18;MoVimento 5 Stelle;Mollame;#fad140
12;18;MoVimento 5 Stelle;Endrizzi;#fad140
13;18;MoVimento 5 Stelle;Corbetta;#fad140
14;18;MoVimento 5 Stelle;D'Angelo;#fad140
15;18;MoVimento 5 Stelle;Dessi';#fad140
10;19;MoVimento 5 Stelle;Catalfo;#fad140
11;19;MoVimento 5 Stelle;Montevecchi;#fad140
12;19;MoVimento 5 Stelle;Castellone;#fad140
13;19;MoVimento 5 Stelle;Crucioli;#fad140
14;19;MoVimento 5 Stelle;Lezzi;#fad140
15;19;MoVimento 5 Stelle;Pavanelli;#fad140
10;20;MoVimento 5 Stelle;Di Piazza;#fad140
11;20;MoVimento 5 Stelle;Croatti;#fad140
12;20;MoVimento 5 Stelle;Vaccaro;#fad140
13;20;MoVimento 5 Stelle;Moronese;#fad140
14;20;MoVimento 5 Stelle;Romano;#fad140
15;20;MoVimento 5 Stelle;Piarulli;#fad140
10;21;MoVimento 5 Stelle;Abate;#fad140
11;21;MoVimento 5 Stelle;Ortis;#fad140
12;21;MoVimento 5 Stelle;L'Abbate;#fad140
13;21;MoVimento 5 Stelle;Sileri;#fad140
14;21;MoVimento 5 Stelle;Agostinelli;#fad140
15;21;MoVimento 5 Stelle;Romagnoli;#fad140
